[16:27:18] Protocol: OTHER | Source: 134.147.192.168:-1 -> Dest: 134.147.192.168:-1 | Packet Size: 60 bytes
[16:28:07] Protocol: OTHER | Source: 134.147.192.168:-1 -> Dest: 134.147.192.168:-1 | Packet Size: 60 bytes
[16:28:07] Protocol: UDP | Source: 192.168.10.14:51664 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[16:28:07] Protocol: UDP | Source: 192.168.10.14:51664 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[16:28:08] Protocol: OTHER | Source: 134.147.192.168:-1 -> Dest: 134.147.192.168:-1 | Packet Size: 60 bytes
[16:28:08] Protocol: OTHER | Source: 56.198.192.168:-1 -> Dest: 56.198.192.168:-1 | Packet Size: 42 bytes
[16:28:08] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:51664 | Packet Size: 86 bytes
[16:28:08] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:51664 | Packet Size: 98 bytes
[16:28:08] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[16:28:08] Protocol: ICMP | Source: 172.217.21.46:-1 -> Dest: 172.217.21.46:-1 | Packet Size: 98 bytes
[16:28:08] Protocol: UDP | Source: 192.168.10.14:46544 -> Dest: 192.168.10.14:53 | Packet Size: 86 bytes
[16:28:08] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:46544 | Packet Size: 110 bytes
[16:28:09] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[16:28:09] Protocol: ICMP | Source: 172.217.21.46:-1 -> Dest: 172.217.21.46:-1 | Packet Size: 98 bytes
[17:29:18] Protocol: UDP | Source: 192.168.10.14:53117 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[17:29:18] Protocol: UDP | Source: 192.168.10.14:53117 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[17:29:18] Protocol: OTHER | Source: 134.147.192.168:-1 -> Dest: 134.147.192.168:-1 | Packet Size: 60 bytes
[17:29:18] Protocol: OTHER | Source: 56.198.192.168:-1 -> Dest: 56.198.192.168:-1 | Packet Size: 42 bytes
[17:29:18] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:53117 | Packet Size: 86 bytes
[17:29:18] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:53117 | Packet Size: 98 bytes
[17:29:18] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[17:29:18] Protocol: ICMP | Source: 172.217.17.46:-1 -> Dest: 172.217.17.46:-1 | Packet Size: 98 bytes
[17:29:18] Protocol: UDP | Source: 192.168.10.14:41211 -> Dest: 192.168.10.14:53 | Packet Size: 86 bytes
[17:29:18] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:41211 | Packet Size: 110 bytes
[17:29:19] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[17:29:19] Protocol: ICMP | Source: 172.217.17.46:-1 -> Dest: 172.217.17.46:-1 | Packet Size: 98 bytes
[17:33:52] Protocol: UDP | Source: 192.168.10.14:48972 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[17:33:52] Protocol: UDP | Source: 192.168.10.14:48972 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[17:33:52] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:48972 | Packet Size: 86 bytes
[17:33:52] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:48972 | Packet Size: 98 bytes
[17:33:52] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[17:33:52] Protocol: ICMP | Source: 172.217.21.46:-1 -> Dest: 172.217.21.46:-1 | Packet Size: 98 bytes
[17:33:52] Protocol: UDP | Source: 192.168.10.14:52535 -> Dest: 192.168.10.14:53 | Packet Size: 86 bytes
[17:33:52] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:52535 | Packet Size: 110 bytes
[16:32:03] Protocol: OTHER | Source: 234.212.192.168:-1 -> Dest: 234.212.192.168:-1 | Packet Size: 60 bytes
[09:19:02] Protocol: UDP | Source: 192.168.10.14:49871 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[09:19:02] Protocol: UDP | Source: 192.168.10.14:49871 -> Dest: 192.168.10.14:53 | Packet Size: 70 bytes
[09:19:02] Protocol: OTHER | Source: 134.147.192.168:-1 -> Dest: 134.147.192.168:-1 | Packet Size: 60 bytes
[09:19:02] Protocol: OTHER | Source: 56.198.192.168:-1 -> Dest: 56.198.192.168:-1 | Packet Size: 42 bytes
[09:19:02] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:49871 | Packet Size: 118 bytes
[09:19:02] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:49871 | Packet Size: 137 bytes
[09:19:02] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[09:19:02] Protocol: ICMP | Source: 205.251.242.103:-1 -> Dest: 205.251.242.103:-1 | Packet Size: 98 bytes
[09:19:02] Protocol: UDP | Source: 192.168.10.14:60104 -> Dest: 192.168.10.14:53 | Packet Size: 88 bytes
[09:19:02] Protocol: UDP | Source: 192.168.10.1:53 -> Dest: 192.168.10.1:60104 | Packet Size: 112 bytes
[09:19:03] Protocol: ICMP | Source: 192.168.10.14:-1 -> Dest: 192.168.10.14:-1 | Packet Size: 98 bytes
[09:19:03] Protocol: ICMP | Source: 205.251.242.103:-1 -> Dest: 205.251.242.103:-1 | Packet Size: 98 bytes
[09:19:07] Protocol: OTHER | Source: 56.198.192.168:-1 -> Dest: 56.198.192.168:-1 | Packet Size: 42 bytes
